Request_ID,Timestamp,Service,Environment,Region,HTTP_Method,Status_Code,Latency_ms,CPU_Usage_pct,Payload_KB
REQ-00069,2026-03-07 07:54:00,Auth Service,Production,Bangalore,POST,429,156.2,2.52,66
REQ-00070,2026-06-05 01:46:00,API Gateway,Production,Pune,POST,200,247.6,2.58,335
REQ-00071,2026-04-18 06:18:00,API Gateway,Staging,Pune,POST,401,77.7,3.46,133
REQ-00072,2026-03-13 15:56:00,API Gateway,Production,Hyderabad,GET,502,471.8,2.52,450
REQ-00073,2026-02-18 11:56:00,API Gateway,Production,Hyderabad,GET,201,204.4,0.64,8
REQ-00074,2026-02-10 10:43:00,API Gateway,Staging,Bangalore,POST,200,76.0,3.9,61
REQ-00075,2026-03-26 08:25:00,API Gateway,Production,Pune,GET,429,115.5,1.9,346
REQ-00076,2026-06-05 18:21:00,Auth Service,Production,Mumbai,GET,200,89.0,1.98,214
REQ-00077,2026-04-09 07:10:00,Payment Service,Production,Hyderabad,POST,200,336.0,2.51,471
REQ-00078,2026-02-16 23:41:00,Payment Service,Production,Hyderabad,GET,404,323.2,2.78,407
REQ-00079,2026-02-28 19:57:00,User Service,Production,Hyderabad,GET,200,188.9,1.57,202
REQ-00080,2026-01-01 17:42:00,Auth Service,Production,Hyderabad,GET,200,175.4,1.44,25
REQ-00081,2026-03-17 01:39:00,Auth Service,Production,Bangalore,POST,400,240.9,1.78,83
REQ-00082,2026-05-28 14:01:00,Auth Service,Production,Pune,GET,200,115.5,2.04,454
REQ-00083,2026-01-03 15:32:00,Notification Service,Production,Pune,GET,200,206.8,1.21,95
REQ-00084,2026-05-31 12:07:00,Notification Service,Production,Hyderabad,POST,200,161.9,3.99,6
REQ-00085,2026-03-26 20:17:00,Payment Service,Production,Bangalore,POST,502,971.7,1.19,300
REQ-00086,2026-04-06 12:21:00,Notification Service,Production,Hyderabad,GET,401,244.8,0.55,90
REQ-00087,2026-02-24 11:57:00,Auth Service,Production,Mumbai,GET,201,137.4,1.87,261
REQ-00088,2026-03-03 01:58:00,Payment Service,Production,Hyderabad,GET,200,211.5,2.76,273
REQ-00089,2026-06-22 15:04:00,Payment Service,Staging,Pune,POST,200,161.4,1.69,373
REQ-00090,2026-04-07 23:19:00,Notification Service,Production,Mumbai,POST,200,177.7,2.34,320
REQ-00091,2026-03-02 16:28:00,API Gateway,Production,Mumbai,GET,429,155.4,2.57,62
REQ-00092,2026-01-15 07:31:00,Auth Service,Production,Hyderabad,GET,201,123.0,1.57,179
REQ-00093,2026-02-20 22:20:00,Auth Service,Staging,Bangalore,POST,404,78.1,0.36,104
REQ-00094,2026-04-04 19:30:00,Payment Service,Production,Bangalore,GET,200,321.4,0.64,15
REQ-00095,2026-03-25 15:10:00,Payment Service,Production,Mumbai,POST,201,336.3,3.14,289
REQ-00096,2026-03-13 23:57:00,API Gateway,Production,Pune,GET,401,192.5,3.3,159
REQ-00097,2026-04-22 11:58:00,User Service,Production,Bangalore,GET,200,285.7,3.11,411
REQ-00098,2026-04-13 11:10:00,Payment Service,Production,Bangalore,GET,201,280.2,0.81,330
REQ-00099,2026-06-17 00:07:00,Payment Service,Production,Mumbai,GET,200,378.6,0.49,481
REQ-00100,2026-05-11 13:34:00,User Service,Production,Hyderabad,POST,201,206.7,3.7,328
REQ-00101,2026-01-01 02:06:00,API Gateway,Production,Hyderabad,PUT,201,112.4,3.65,257
REQ-00102,2026-02-23 04:29:00,API Gateway,Production,Bangalore,DELETE,200,275.1,3.49,55
REQ-00103,2026-04-29 07:14:00,Payment Service,Staging,Mumbai,POST,200,305.8,0.55,244
REQ-00104,2026-05-06 12:40:00,Notification Service,Production,Bangalore,POST,502,366.7,0.98,364
REQ-00105,2026-03-30 16:58:00,API Gateway,Staging,Mumbai,POST,200,44.1,1.18,154
REQ-00106,2026-04-09 05:47:00,API Gateway,Staging,Mumbai,GET,200,177.3,1.72,476
REQ-00107,2026-04-16 23:58:00,Notification Service,Production,Bangalore,POST,200,202.6,1.46,158
REQ-00108,2026-02-11 10:36:00,Payment Service,Staging,Bangalore,GET,200,333.4,3.12,175
REQ-00109,2026-06-28 11:29:00,Payment Service,Production,Mumbai,GET,200,431.6,0.39,131
REQ-00110,2026-02-24 14:23:00,Auth Service,Staging,Bangalore,GET,502,101.4,2.89,349
REQ-00111,2026-03-18 02:15:00,API Gateway,Production,Pune,GET,200,216.4,2.32,51
REQ-00112,2026-04-18 19:12:00,Payment Service,Staging,Hyderabad,POST,401,218.8,3.44,491
REQ-00113,2026-01-09 10:55:00,Auth Service,Staging,Bangalore,POST,400,114.2,2.97,85
REQ-00114,2026-05-09 02:26:00,API Gateway,Production,Mumbai,PUT,500,244.7,1.43,234
REQ-00115,2026-04-12 16:30:00,Auth Service,Production,Pune,GET,201,169.6,3.46,355
REQ-00116,2026-03-25 13:07:00,Notification Service,Production,Pune,POST,404,151.1,3.59,128
REQ-00117,2026-04-28 03:11:00,Auth Service,Production,Bangalore,GET,200,152.1,2.62,494
REQ-00118,2026-03-23 01:39:00,API Gateway,Production,Pune,PUT,502,177.4,0.56,356
REQ-00119,2026-05-11 20:56:00,Auth Service,Production,Pune,GET,201,180.3,1.13,287
REQ-00120,2026-05-29 08:37:00,User Service,Production,Mumbai,GET,200,237.8,3.67,410
REQ-00121,2026-03-12 08:52:00,Auth Service,Production,Pune,GET,200,126.4,3.36,11
REQ-00122,2026-03-04 05:19:00,Notification Service,Production,Pune,POST,401,263.9,2.69,246
REQ-00123,2026-06-06 17:25:00,User Service,Production,Mumbai,GET,200,176.2,2.53,450
REQ-00124,2026-04-03 01:56:00,Auth Service,Production,Mumbai,POST,200,144.8,1.8,39
REQ-00125,2026-01-17 21:54:00,User Service,Production,Bangalore,GET,429,146.0,3.25,305
REQ-00126,2026-04-26 20:44:00,User Service,Production,Hyderabad,POST,400,264.7,3.5,264
REQ-00127,2026-04-10 12:46:00,User Service,Production,Mumbai,POST,400,259.0,2.8,489
REQ-00128,2026-03-27 05:32:00,User Service,Production,Mumbai,GET,200,237.0,2.31,250
REQ-00129,2026-05-29 04:22:00,API Gateway,Staging,Bangalore,POST,400,202.5,3.01,372
REQ-00130,2026-01-18 17:10:00,Payment Service,Production,Pune,POST,201,300.9,1.0,188
REQ-00131,2026-05-11 16:44:00,API Gateway,Production,Bangalore,PUT,400,243.3,2.2,470
REQ-00132,2026-03-22 06:48:00,User Service,Production,Hyderabad,GET,201,157.4,0.2,170
REQ-00133,2026-05-17 21:53:00,API Gateway,Staging,Hyderabad,GET,500,431.6,0.45,318
REQ-00134,2026-02-21 08:52:00,Payment Service,Production,Mumbai,POST,201,324.2,1.73,359
REQ-00135,2026-06-23 17:55:00,User Service,Production,Hyderabad,POST,200,192.3,2.4,432
REQ-00136,2026-06-04 02:08:00,Notification Service,Production,Mumbai,POST,200,193.7,0.95,293
REQ-00137,2026-03-28 19:08:00,Auth Service,Staging,Bangalore,DELETE,201,172.6,1.0,148
REQ-00138,2026-06-20 13:16:00,Payment Service,Production,Pune,GET,201,338.6,1.6,425
REQ-00139,2026-04-21 00:48:00,Notification Service,Production,Mumbai,DELETE,429,286.1,3.98,61
REQ-00140,2026-05-01 19:06:00,Auth Service,Production,Hyderabad,PUT,404,186.8,1.91,269
REQ-00141,2026-01-06 01:27:00,User Service,Production,Mumbai,PUT,200,78.0,3.83,332
REQ-00142,2026-03-07 12:57:00,User Service,Production,Bangalore,GET,400,158.4,1.09,38
REQ-00143,2026-05-27 17:11:00,User Service,Production,Hyderabad,GET,200,242.4,3.42,40
REQ-00144,2026-04-08 15:08:00,Payment Service,Staging,Hyderabad,POST,201,323.5,2.22,461
REQ-00145,2026-03-11 04:16:00,Notification Service,Staging,Mumbai,GET,429,315.3,1.03,181
REQ-00146,2026-03-19 15:05:00,API Gateway,Production,Mumbai,PUT,400,201.3,3.5,499
REQ-00147,2026-05-09 17:34:00,User Service,Production,Hyderabad,POST,200,280.9,3.05,12
REQ-00148,2026-04-24 23:34:00,API Gateway,Production,Mumbai,POST,200,138.8,1.11,188
REQ-00149,2026-04-27 22:23:00,Payment Service,Production,Hyderabad,PUT,404,343.9,1.63,335
REQ-00150,2026-03-05 10:37:00,User Service,Production,Hyderabad,GET,429,186.4,1.27,17
REQ-00151,2026-05-27 20:27:00,API Gateway,Production,Pune,DELETE,201,240.2,2.74,204
REQ-00152,2026-02-23 19:15:00,Payment Service,Production,Mumbai,GET,201,183.5,1.36,79
REQ-00153,2026-06-29 03:11:00,User Service,Staging,Mumbai,GET,400,110.0,3.43,271
REQ-00154,2026-01-30 01:26:00,User Service,Staging,Bangalore,POST,200,186.1,2.65,27
REQ-00155,2026-02-06 18:10:00,Notification Service,Production,Bangalore,DELETE,200,295.5,3.06,453
REQ-00156,2026-03-31 03:46:00,Auth Service,Production,Pune,GET,200,136.1,0.22,281
REQ-00157,2026-02-27 10:31:00,Auth Service,Staging,Mumbai,GET,500,221.4,1.87,50
REQ-00158,2026-04-23 08:19:00,API Gateway,Production,Hyderabad,DELETE,429,178.5,2.5,46
REQ-00159,2026-01-01 08:46:00,Payment Service,Production,Pune,GET,200,353.6,0.73,214
REQ-00160,2026-01-04 13:09:00,Auth Service,Production,Hyderabad,POST,201,110.3,0.15,274
REQ-00161,2026-04-20 11:41:00,Auth Service,Production,Mumbai,DELETE,200,77.9,3.64,267
REQ-00162,2026-04-24 22:13:00,User Service,Production,Pune,GET,200,254.7,2.05,86
REQ-00163,2026-03-08 21:47:00,User Service,Production,Mumbai,PUT,201,158.5,1.5,103
REQ-00164,2026-03-17 12:17:00,Notification Service,Production,Bangalore,GET,200,252.6,0.75,305
REQ-00165,2026-02-05 10:47:00,Payment Service,Production,Hyderabad,DELETE,401,325.3,2.54,84
REQ-00166,2026-04-11 11:41:00,Payment Service,Production,Hyderabad,POST,200,262.0,3.29,410
REQ-00167,2026-01-24 09:02:00,Payment Service,Production,Bangalore,POST,201,286.9,1.97,243
REQ-00168,2026-04-20 14:17:00,Auth Service,Production,Mumbai,POST,200,148.0,2.67,307
REQ-00169,2026-06-03 10:51:00,Payment Service,Production,Bangalore,GET,401,323.4,1.73,207
REQ-00170,2026-06-09 12:48:00,User Service,Staging,Pune,POST,200,217.1,1.76,4
REQ-00171,2026-06-28 06:51:00,Auth Service,Production,Pune,POST,503,151.7,3.19,295
REQ-00172,2026-04-10 11:53:00,Notification Service,Production,Bangalore,POST,200,390.1,2.56,399
REQ-00173,2026-02-09 14:56:00,API Gateway,Production,Pune,GET,401,196.3,1.68,14
REQ-00174,2026-05-20 17:27:00,Payment Service,Production,Mumbai,GET,400,293.9,3.88,66
REQ-00175,2026-02-14 21:54:00,User Service,Staging,Bangalore,GET,200,182.5,3.55,118
REQ-00176,2026-02-27 01:49:00,Auth Service,Production,Mumbai,GET,200,153.6,1.07,171
REQ-00177,2026-04-18 08:11:00,User Service,Production,Mumbai,POST,200,259.8,1.84,367
REQ-00178,2026-05-18 17:50:00,Payment Service,Production,Pune,GET,201,429.5,2.17,20
REQ-00179,2026-01-01 04:41:00,API Gateway,Production,Mumbai,POST,200,216.9,2.78,276
REQ-00180,2026-06-22 13:40:00,Payment Service,Production,Mumbai,POST,400,312.8,3.48,223
REQ-00181,2026-02-09 05:43:00,Payment Service,Production,Mumbai,GET,200,241.9,3.77,380
REQ-00182,2026-04-05 03:02:00,API Gateway,Production,Mumbai,GET,200,200.3,3.49,86
REQ-00183,2026-06-21 11:58:00,User Service,Production,Hyderabad,PUT,500,371.4,3.1,475
REQ-00184,2026-05-01 18:15:00,User Service,Staging,Pune,GET,502,416.8,2.64,90
REQ-00185,2026-01-06 15:25:00,User Service,Production,Mumbai,GET,503,533.5,2.64,102
REQ-00186,2026-01-21 06:05:00,Notification Service,Staging,Mumbai,POST,200,232.3,1.8,331
REQ-00187,2026-01-03 13:52:00,API Gateway,Production,Hyderabad,POST,201,115.6,2.43,224
REQ-00188,2026-03-07 01:20:00,Payment Service,Production,Hyderabad,POST,200,172.7,2.52,430
REQ-00189,2026-02-23 20:56:00,Auth Service,Production,Hyderabad,GET,500,51.5,2.15,463
REQ-00190,2026-04-10 01:15:00,Payment Service,Production,Pune,POST,200,525.3,3.83,493
REQ-00191,2026-01-18 01:56:00,API Gateway,Production,Bangalore,GET,200,218.3,0.87,141
REQ-00192,2026-06-29 12:37:00,API Gateway,Production,Mumbai,GET,200,194.2,1.3,239
REQ-00193,2026-04-11 08:59:00,Payment Service,Production,Hyderabad,PUT,200,455.7,2.14,263
REQ-00194,2026-03-21 04:14:00,Notification Service,Production,Bangalore,GET,429,304.1,2.31,298
REQ-00195,2026-03-25 03:35:00,Notification Service,Production,Pune,GET,200,265.7,0.11,406
REQ-00196,2026-04-18 11:01:00,Payment Service,Production,Bangalore,POST,201,442.2,1.7,125
REQ-00197,2026-01-22 19:21:00,Notification Service,Production,Bangalore,PUT,200,302.3,2.72,345
REQ-00198,2026-02-15 14:41:00,User Service,Production,Mumbai,GET,200,168.8,2.97,226
REQ-00199,2026-06-06 21:52:00,API Gateway,Production,Hyderabad,POST,200,182.2,1.1,77
REQ-00200,2026-06-13 21:48:00,API Gateway,Production,Bangalore,POST,200,172.6,1.68,374
REQ-00201,2026-06-02 14:52:00,User Service,Production,Bangalore,POST,400,227.8,1.13,229
REQ-00202,2026-03-19 01:04:00,Payment Service,Production,Pune,GET,200,272.1,0.37,49
REQ-00203,2026-02-14 15:55:00,API Gateway,Staging,Pune,POST,429,191.8,1.0,58
REQ-00204,2026-06-14 10:42:00,API Gateway,Production,Pune,POST,200,101.6,2.95,286
REQ-00205,2026-02-07 01:23:00,API Gateway,Production,Pune,GET,201,130.1,3.31,12
REQ-00206,2026-04-22 09:20:00,Auth Service,Production,Bangalore,GET,503,275.8,0.69,5
REQ-00207,2026-06-24 21:39:00,Notification Service,Production,Pune,POST,201,255.3,3.47,272
REQ-00208,2026-01-08 10:19:00,User Service,Production,Mumbai,GET,401,282.2,1.43,361
REQ-00209,2026-06-20 21:40:00,Auth Service,Production,Pune,POST,200,191.4,2.11,419
REQ-00210,2026-03-04 20:37:00,Payment Service,Production,Bangalore,GET,503,663.7,2.2,429
REQ-00211,2026-01-25 00:34:00,User Service,Production,Pune,GET,201,168.7,1.67,66
REQ-00212,2026-05-11 00:26:00,User Service,Staging,Hyderabad,DELETE,200,235.5,2.34,253
REQ-00213,2026-02-14 15:49:00,Auth Service,Staging,Pune,GET,201,119.8,1.53,392
REQ-00214,2026-03-12 07:48:00,API Gateway,Staging,Hyderabad,POST,200,227.0,0.58,92
REQ-00215,2026-05-25 19:24:00,Notification Service,Production,Pune,POST,500,361.1,0.69,499
REQ-00216,2026-05-27 03:16:00,User Service,Production,Bangalore,POST,200,183.0,2.52,463
REQ-00217,2026-04-19 09:44:00,Payment Service,Production,Mumbai,POST,200,251.0,3.99,273
REQ-00218,2026-05-01 23:00:00,Payment Service,Production,Hyderabad,PUT,200,269.8,2.92,485
REQ-00219,2026-01-23 11:31:00,Auth Service,Production,Bangalore,POST,400,154.9,3.1,183
REQ-00220,2026-02-18 14:57:00,API Gateway,Production,Mumbai,POST,200,70.4,0.63,423
REQ-00221,2026-06-04 05:24:00,API Gateway,Production,Bangalore,POST,200,129.9,1.14,117
REQ-00222,2026-03-04 10:01:00,API Gateway,Production,Bangalore,GET,500,257.6,1.64,422
REQ-00223,2026-06-28 03:53:00,User Service,Production,Pune,DELETE,502,453.9,1.09,232
REQ-00224,2026-06-04 03:32:00,User Service,Production,Pune,POST,200,144.1,2.49,444
REQ-00225,2026-06-23 09:26:00,Payment Service,Production,Mumbai,GET,200,327.9,3.01,385
REQ-00226,2026-01-06 09:48:00,User Service,Production,Hyderabad,POST,200,311.3,1.48,366
REQ-00227,2026-02-03 13:55:00,Auth Service,Production,Mumbai,POST,404,99.0,3.34,8
REQ-00228,2026-04-05 19:11:00,Auth Service,Production,Mumbai,GET,200,161.0,3.1,409
REQ-00229,2026-04-26 10:16:00,Auth Service,Production,Mumbai,DELETE,200,151.0,1.97,255
REQ-00230,2026-05-12 02:25:00,Auth Service,Production,Pune,POST,200,103.7,2.37,351
REQ-00231,2026-02-18 06:39:00,User Service,Staging,Bangalore,GET,400,188.5,1.57,334
REQ-00232,2026-02-08 11:39:00,Auth Service,Production,Hyderabad,GET,200,107.1,0.87,174
REQ-00233,2026-02-28 09:20:00,Payment Service,Staging,Mumbai,POST,200,347.2,2.58,149
REQ-00234,2026-01-12 02:37:00,User Service,Production,Hyderabad,GET,401,225.6,1.35,150
REQ-00235,2026-05-31 22:02:00,Auth Service,Production,Hyderabad,PUT,201,118.8,0.93,499
REQ-00236,2026-05-04 07:18:00,User Service,Production,Mumbai,POST,401,228.5,2.49,118
REQ-00237,2026-02-28 07:46:00,API Gateway,Production,Hyderabad,POST,200,230.5,0.14,129
REQ-00238,2026-02-08 07:07:00,User Service,Production,Pune,POST,503,288.5,1.31,405
REQ-00239,2026-04-27 12:47:00,User Service,Production,Hyderabad,GET,201,152.0,3.07,54
REQ-00240,2026-04-26 22:03:00,User Service,Staging,Mumbai,POST,200,297.4,3.05,223
REQ-00241,2026-01-04 13:10:00,Payment Service,Production,Pune,PUT,200,294.2,2.41,293
REQ-00242,2026-02-21 00:05:00,Auth Service,Production,Pune,GET,400,103.1,0.81,429
REQ-00243,2026-04-12 16:51:00,Auth Service,Production,Hyderabad,POST,500,274.2,2.45,162
REQ-00244,2026-01-12 03:09:00,User Service,Staging,Mumbai,POST,200,214.8,0.68,152
REQ-00245,2026-01-30 05:32:00,User Service,Production,Pune,GET,503,417.2,1.79,146
REQ-00246,2026-03-10 20:14:00,API Gateway,Production,Bangalore,POST,201,155.1,1.27,161
REQ-00247,2026-05-13 13:04:00,Payment Service,Staging,Hyderabad,GET,200,368.8,2.33,400
REQ-00248,2026-06-15 13:24:00,API Gateway,Production,Mumbai,POST,200,132.5,2.38,118
REQ-00249,2026-04-26 16:37:00,Payment Service,Staging,Mumbai,POST,200,412.6,1.8,192
REQ-00250,2026-06-25 02:44:00,User Service,Production,Bangalore,POST,201,198.5,1.8,313
REQ-00251,2026-01-31 06:59:00,User Service,Production,Hyderabad,POST,200,151.3,0.15,408
REQ-00252,2026-05-23 19:55:00,API Gateway,Production,Bangalore,PUT,200,195.2,1.07,336
REQ-00253,2026-06-06 00:15:00,User Service,Production,Pune,POST,200,179.1,1.45,178
REQ-00254,2026-03-13 01:04:00,User Service,Production,Hyderabad,POST,200,209.2,3.86,143
REQ-00255,2026-06-15 15:11:00,Notification Service,Production,Pune,DELETE,200,140.6,0.67,87
REQ-00256,2026-04-25 23:53:00,API Gateway,Production,Mumbai,POST,200,153.3,1.46,425
REQ-00257,2026-01-05 09:04:00,API Gateway,Production,Mumbai,DELETE,200,211.9,0.99,28
REQ-00258,2026-04-18 07:53:00,Payment Service,Production,Pune,GET,429,279.7,1.89,65
REQ-00259,2026-05-05 07:37:00,API Gateway,Production,Mumbai,POST,502,335.8,1.23,495
REQ-00260,2026-06-03 12:55:00,API Gateway,Staging,Bangalore,POST,200,225.6,0.89,391
REQ-00261,2026-01-13 23:48:00,API Gateway,Production,Mumbai,POST,200,186.2,0.73,270
REQ-00262,2026-03-21 13:46:00,Notification Service,Production,Mumbai,GET,201,363.7,0.35,254
REQ-00263,2026-04-16 03:46:00,Notification Service,Production,Mumbai,GET,201,181.9,0.46,197
REQ-00264,2026-06-29 09:54:00,API Gateway,Production,Hyderabad,POST,200,179.7,2.35,85
REQ-00265,2026-04-07 01:11:00,User Service,Production,Hyderabad,POST,200,214.0,0.75,336
REQ-00266,2026-01-05 12:50:00,Auth Service,Production,Hyderabad,GET,502,237.4,0.82,101
REQ-00267,2026-04-01 05:51:00,User Service,Production,Hyderabad,GET,200,331.3,2.98,375
REQ-00268,2026-03-15 06:07:00,Notification Service,Production,Pune,POST,200,175.3,0.75,102
REQ-00269,2026-05-18 14:17:00,Auth Service,Production,Mumbai,PUT,200,141.3,0.92,133
REQ-00270,2026-01-23 21:54:00,API Gateway,Production,Bangalore,POST,500,336.3,3.95,450
REQ-00271,2026-05-08 05:34:00,User Service,Staging,Pune,GET,200,253.3,2.88,248
REQ-00272,2026-03-05 10:33:00,API Gateway,Production,Mumbai,POST,200,151.4,0.85,75
REQ-00273,2026-03-15 04:40:00,Payment Service,Staging,Bangalore,POST,201,391.3,0.59,272
REQ-00274,2026-03-03 02:09:00,Auth Service,Production,Bangalore,GET,400,164.3,2.66,1
REQ-00275,2026-01-15 21:27:00,API Gateway,Production,Bangalore,GET,200,223.7,0.23,117
REQ-00276,2026-05-06 19:32:00,User Service,Production,Bangalore,GET,502,388.9,3.61,115
REQ-00277,2026-03-29 23:28:00,Notification Service,Production,Pune,PUT,200,223.4,2.23,35
REQ-00278,2026-05-04 11:30:00,Notification Service,Production,Mumbai,GET,200,170.3,0.21,102
